text,timestamp,concept_name,explanation_of_concept,education_level
every phase space carrying a simplectic form can be treated um locally as if that simplectic form is the curvature of a line bundle and the se L2 sections of that line bundle form a Hbert space and the P and Q coordinate functions can be promoted to operators it said that wine is you what you get when you stop grape juice from becoming vinegar and in fact Hamiltonian analysis is what happens when you take a physical problem and you stop it from quantizing itself that was one of the great errors of our time that Hamiltonian analysis was actually pointing the way to saying,44:23-44:51,Hilbert Space,A complete inner product space used in quantum mechanics and other areas of physics.,Undergraduate
every phase space carrying a simplectic form can be treated um locally as if that simplectic form is the curvature of a line bundle and the se L2 sections of that line bundle form a Hbert space and the P and Q coordinate functions can be promoted to operators it said that wine is you what you get when you stop grape juice from becoming vinegar and in fact Hamiltonian analysis is what happens when you take a physical problem and you stop it from quantizing itself that was one of the great errors of our time that Hamiltonian analysis was actually pointing the way to saying,44:23-44:51,Hamiltonian Analysis,"A mathematical framework for analyzing classical mechanical systems, which can be related to quantization.",Graduate
"that most classical problems contain the seeds of their own quantization um you know all this stuff and I know this stuff we know the same people uh we probably can work in the same notation my guess is is that if you and I got over uh whatever this bizarre tension is between us and buried the hatchet um my guess is that after two days you'd say ""Boy I really just didn't understand what he was saying."" You know what i would love that to be the case and maybe you guys can can make that happen talking of dark energy a little bit of dark energy has crept into this debate",44:57-45:24,Quantization,The process of converting continuous physical quantities into discrete values or states.,Undergraduate
"that most classical problems contain the seeds of their own quantization um you know all this stuff and I know this stuff we know the same people uh we probably can work in the same notation my guess is is that if you and I got over uh whatever this bizarre tension is between us and buried the hatchet um my guess is that after two days you'd say ""Boy I really just didn't understand what he was saying."" You know what i would love that to be the case and maybe you guys can can make that happen talking of dark energy a little bit of dark energy has crept into this debate",44:57-45:24,Dark Energy,A hypothetical form of energy thought to be responsible for the accelerating expansion of the universe.,Graduate
so I'm going to try and end on a slightly lighter note and these will require much shorter responses but I just want to see whether you guys I mean as you said Eric you agree about a lot of stuff do you agree about mostly yeah mostly i want to ask whether you agree about some of these fundamental things which have struck me as interesting about where we are professor Steven Hawking I did the last television interview that he ever gave before he he died he said that the uh biggest threat to mankind was if artificial intelligence learned to self-design do,45:30-45:58,Artificial Intelligence,"A computer system capable of performing tasks that typically require human intelligence, such as learning and problem-solving.",High School
so I'm going to try and end on a slightly lighter note and these will require much shorter responses but I just want to see whether you guys I mean as you said Eric you agree about a lot of stuff do you agree about mostly yeah mostly i want to ask whether you agree about some of these fundamental things which have struck me as interesting about where we are professor Steven Hawking I did the last television interview that he ever gave before he he died he said that the uh biggest threat to mankind was if artificial intelligence learned to self-design do,45:30-45:58,Self-Design,The ability of a system to modify its own architecture or design without external input.,Undergraduate
you agree Sean no I don't think that's the biggest threat to mankind i think that AI is a threat but in a completely different way than is usually portrayed uh the AIs that we're working on now are not really the kind that will reach general intelligence in the way that we think about it there's no obstacle to reaching that in principle but the currently popular uh architectures aren't on that trajectory the real problem as we saw just this week with the Chicago Sun Times is people are lazy and people use,46:04-46:29,Artificial General Intelligence,"A hypothetical AI system that possesses human-like intelligence, capable of reasoning, problem-solving, and learning across a wide range of tasks.",Undergraduate
you agree Sean no I don't think that's the biggest threat to mankind i think that AI is a threat but in a completely different way than is usually portrayed uh the AIs that we're working on now are not really the kind that will reach general intelligence in the way that we think about it there's no obstacle to reaching that in principle but the currently popular uh architectures aren't on that trajectory the real problem as we saw just this week with the Chicago Sun Times is people are lazy and people use,46:04-46:29,Machine Learning Architectures,"Design patterns for training machine learning models to perform specific tasks, such as classification or regression.",Graduate
AI for the wrong reasons this was a very very trivial example where they published an article about the fun summer book reads this year which was completely hallucinated by an AI and they just published it in the newspaper that doesn't really hurt anybody but when these architectures are being put to work in things that could actually hurt people that's when AI is going to have a really bad impact eric I would say I completely agree with Sean i believe that the biggest problem and threat to humanity is that we share a,46:35-47:00,AI Ethics,"The study of how AI systems should be designed, developed, and used in ways that align with human values and minimize harm.",High School
AI for the wrong reasons this was a very very trivial example where they published an article about the fun summer book reads this year which was completely hallucinated by an AI and they just published it in the newspaper that doesn't really hurt anybody but when these architectures are being put to work in things that could actually hurt people that's when AI is going to have a really bad impact eric I would say I completely agree with Sean i believe that the biggest problem and threat to humanity is that we share a,46:35-47:00,Consequentialism,A philosophical theory that suggests the morality of an action is determined by its consequences.,Undergraduate
single atmosphere we can have different land masses but we have to share one atmosphere and that um pathogens radiation and climate are all bound up in this one resource and I would say that the biggest problem that I'm seeing is a general um madness in the American political system on both left and right where we went from being the thing that was like the control rod stopping the world from going critical uh to a crazy isolationist perspective where the,47:06-47:31,Critical Mass,"The point at which a reaction becomes self-sustaining, often used in nuclear physics.",High School
single atmosphere we can have different land masses but we have to share one atmosphere and that um pathogens radiation and climate are all bound up in this one resource and I would say that the biggest problem that I'm seeing is a general um madness in the American political system on both left and right where we went from being the thing that was like the control rod stopping the world from going critical uh to a crazy isolationist perspective where the,47:06-47:31,Isolationism,A foreign policy where a country avoids involvement with other countries and international organizations.,Undergraduate
Democratic party is not able to restrain the worst excess excesses of the Republican party and conversely and I fear that what we're going to see is a move towards nuclear proliferation which remains the single greatest threat which is what we physicist physics people uh unleashed in November of 1952 at a thermonuclear level and I think we've since we've never used such a thing in in anger and we've had a testband treaty since the early 60s we are completely unprepared for what the cost is of retreating as the world's policeman,47:37-48:00,Nuclear Proliferation,"The spread of nuclear weapons to more countries, increasing the risk of nuclear conflict.",High School
Democratic party is not able to restrain the worst excess excesses of the Republican party and conversely and I fear that what we're going to see is a move towards nuclear proliferation which remains the single greatest threat which is what we physicist physics people uh unleashed in November of 1952 at a thermonuclear level and I think we've since we've never used such a thing in in anger and we've had a testband treaty since the early 60s we are completely unprepared for what the cost is of retreating as the world's policeman,47:37-48:00,Thermonuclear Reaction,"A type of nuclear reaction that releases a large amount of energy, such as in a hydrogen bomb.",Undergraduate
Democratic party is not able to restrain the worst excess excesses of the Republican party and conversely and I fear that what we're going to see is a move towards nuclear proliferation which remains the single greatest threat which is what we physicist physics people uh unleashed in November of 1952 at a thermonuclear level and I think we've since we've never used such a thing in in anger and we've had a testband treaty since the early 60s we are completely unprepared for what the cost is of retreating as the world's policeman,47:37-48:00,Test Ban Treaty,"An international agreement to ban nuclear testing, signed in the early 1960s.",High School
fascinating um Sean will we ever be able to time travel either forwards or back well forwards I time travel all the time yesterday I time traveled 24 hours into the future and here I am i mean that's not that hard einstein showed us that there's a trick you can even travel into the future faster by either moving near near the speed of light or by hanging out in a strong gravitational field like a black hole backwards in time no I don't think that we're going to be able to do it i've written papers about it uh it's it's something that is I would say,48:06-48:33,Time Dilation,"The phenomenon where time appears to pass slower for an observer in motion relative to a stationary observer, or near a strong gravitational field.",High School
fascinating um Sean will we ever be able to time travel either forwards or back well forwards I time travel all the time yesterday I time traveled 24 hours into the future and here I am i mean that's not that hard einstein showed us that there's a trick you can even travel into the future faster by either moving near near the speed of light or by hanging out in a strong gravitational field like a black hole backwards in time no I don't think that we're going to be able to do it i've written papers about it uh it's it's something that is I would say,48:06-48:33,Gravitational Time Dilation,A consequence of general relativity where time passes slower near a massive object due to its strong gravitational field.,Undergraduate
conceivable but not plausible we know how it might work in principle but all the indications are it's not going to work in practice eric Well as as Sean has thoroughly digested uh my paper he knows that I believe that there are either five or seven dimensions of time in a 14-dimensional world which is split five of time uh 9 of space or seven of time seven of space so when you talk about time travel it's times travel and only when time is,48:38-49:04,Time Dilation,"The concept that time can appear to slow down or speed up depending on the observer's frame of reference, often discussed in the context of special relativity.",Undergraduate
conceivable but not plausible we know how it might work in principle but all the indications are it's not going to work in practice eric Well as as Sean has thoroughly digested uh my paper he knows that I believe that there are either five or seven dimensions of time in a 14-dimensional world which is split five of time uh 9 of space or seven of time seven of space so when you talk about time travel it's times travel and only when time is,48:38-49:04,Spacetime,"A four-dimensional fabric that combines space and time, where every event is represented by a set of coordinates (x, y, z, t).",High School
conceivable but not plausible we know how it might work in principle but all the indications are it's not going to work in practice eric Well as as Sean has thoroughly digested uh my paper he knows that I believe that there are either five or seven dimensions of time in a 14-dimensional world which is split five of time uh 9 of space or seven of time seven of space so when you talk about time travel it's times travel and only when time is,48:38-49:04,Calabi-Yau Manifolds,A mathematical concept used to describe the compactification of extra dimensions in string theory.,Graduate
one-dimensional is there an arrow of time if there were two dimensions of time you'd have a whirlpool three dimensions would result in a right-hand rule of time these things are technically called orientations one of the things that is really interesting about multiple dimensions of time which leads to something which is very poorly studied called ultra-hyperbolic equations is that you have the opportunity of going back in time without going back through time so just as you can uh play a record and when the stylus comes to the uh inner circles of,49:09-49:32,Arrow of Time,"Concept that describes the direction in which physical processes occur, often related to entropy or causality.",Undergraduate
one-dimensional is there an arrow of time if there were two dimensions of time you'd have a whirlpool three dimensions would result in a right-hand rule of time these things are technically called orientations one of the things that is really interesting about multiple dimensions of time which leads to something which is very poorly studied called ultra-hyperbolic equations is that you have the opportunity of going back in time without going back through time so just as you can uh play a record and when the stylus comes to the uh inner circles of,49:09-49:32,Ultra-Hyperbolic Equations,"Type of mathematical equations used to describe phenomena in higher-dimensional spacetimes, particularly those with multiple dimensions of time.",Graduate
the record you can jump again to any track that you like on a cassette tape you have to go back through time so my belief is no we will not go back through time but we will have to figure out uh to how to stop thinking in terms of initial conditions because it is only in the case of a single dimension of time leading to hyperbolic equations that you have that luxury so I think that times travel is going to be perhaps the most interesting thing to come out when you ask why should we worry about these,49:38-50:01,Time Dilation,"The concept of time dilation, where time appears to pass differently for observers in different states of motion.",Undergraduate
the record you can jump again to any track that you like on a cassette tape you have to go back through time so my belief is no we will not go back through time but we will have to figure out uh to how to stop thinking in terms of initial conditions because it is only in the case of a single dimension of time leading to hyperbolic equations that you have that luxury so I think that times travel is going to be perhaps the most interesting thing to come out when you ask why should we worry about these,49:38-50:01,Hyperbolic Equations,"A type of differential equation that describes the behavior of systems with a single dimension of time, leading to exponential growth or decay.",Graduate
things buckle up fascinating uh and my final question is my probably the biggest question I I can ask any guest and I've asked quite a few of them i have to say with very limited responses so I'm asking two highly intelligent people this question now which is I happen to believe in God and the reason I do other than the fact I was reared as a Catholic by my my mother um is because I genuinely think there must be a superior being out there who is able to,50:07-50:31,Cosmological Argument,"The idea that the existence of God can be inferred from the complexity and order in the universe, suggesting a higher power or designer.",High School
things buckle up fascinating uh and my final question is my probably the biggest question I I can ask any guest and I've asked quite a few of them i have to say with very limited responses so I'm asking two highly intelligent people this question now which is I happen to believe in God and the reason I do other than the fact I was reared as a Catholic by my my mother um is because I genuinely think there must be a superior being out there who is able to,50:07-50:31,Teleology,"The study of purpose or direction in the natural world, which can lead to discussions about the existence of a superior being.",Undergraduate
answer this fundamental question in a way no human being has been able to answer it for me which is for those who believe in the big bang theory what was there before the big bang in other words what was nothing and what was there before nothing and because I do not believe a human brain can answer that question there must be de facto a more superior thing out there that can,50:39-51:01,Singularity,"In the context of the Big Bang theory, a singularity refers to a point in space-time where the laws of physics as we know them break down. It is thought to have existed before the Big Bang and is often considered the origin of the universe.",High School
answer this fundamental question in a way no human being has been able to answer it for me which is for those who believe in the big bang theory what was there before the big bang in other words what was nothing and what was there before nothing and because I do not believe a human brain can answer that question there must be de facto a more superior thing out there that can,50:39-51:01,Multiverse Hypothesis,"The multiverse hypothesis suggests that our universe is just one of many in an infinite set, each with its own unique properties and laws. This idea attempts to explain what existed before the Big Bang by proposing that our universe was created from a collision or interaction between different universes.",Undergraduate
answer this fundamental question in a way no human being has been able to answer it for me which is for those who believe in the big bang theory what was there before the big bang in other words what was nothing and what was there before nothing and because I do not believe a human brain can answer that question there must be de facto a more superior thing out there that can,50:39-51:01,Quantum Fluctuation,"Quantum fluctuations refer to temporary and random changes in energy density that can occur at the quantum level. Some theories suggest that these fluctuations could have given rise to our universe, effectively creating something from nothing.",Graduate
sean well I'm glad to be the one who frees you from your religious convictions because the human brain can absolutely tackle that question and it does so all the time i encourage uh viewers listeners to listen to the upcoming episode of my podcast called Mindscape where I talk to Nas Fshorty and Phil Halper about exactly this question what happened at or before the Big Bang yeah we don't know the answer we don't even know whether the Big Bang was the beginning well they Well there you go so the fact that we don't know doesn't,51:09-51:35,Big Bang,The leading cosmological theory explaining the origin and evolution of the universe.,High School
sean well I'm glad to be the one who frees you from your religious convictions because the human brain can absolutely tackle that question and it does so all the time i encourage uh viewers listeners to listen to the upcoming episode of my podcast called Mindscape where I talk to Nas Fshorty and Phil Halper about exactly this question what happened at or before the Big Bang yeah we don't know the answer we don't even know whether the Big Bang was the beginning well they Well there you go so the fact that we don't know doesn't,51:09-51:35,Cosmology,"The study of the origin, evolution, and fate of the universe.",Undergraduate
mean we can't know those are two very different statements well if you don't know you you can't know at the moment surely you have to admit you don't know i don't know and we're doing science on it in the hopes that we will know but with respect Sean sean with respect it is utterly impossible you will never as a human being be able to tell me what was there before nothing how can you you can't comprehend it can you i come up with a theory i show that the theory fits the data that's how we do it what was there before nothing then go on best,51:42-52:08,Uncertainty Principle,"The idea that certain properties of a particle, such as position and momentum, cannot be precisely known at the same time.",High School
mean we can't know those are two very different statements well if you don't know you you can't know at the moment surely you have to admit you don't know i don't know and we're doing science on it in the hopes that we will know but with respect Sean sean with respect it is utterly impossible you will never as a human being be able to tell me what was there before nothing how can you you can't comprehend it can you i come up with a theory i show that the theory fits the data that's how we do it what was there before nothing then go on best,51:42-52:08,Cosmological Singularity,A point in space-time where the laws of physics break down and the curvature is infinite.,Undergraduate
guess we don't know my personal favorite theory is there was a pre-existing universe out of which our cosmos arose as a baby universe quantum fluctuation what was there before that no it's infinite in it's infinite in time in both directions so what was there before so you mean it's never ending yeah I wrote a book if you want to read it pierce from eternity to here it's a great book i do but what's there before eternity there was no such thing as before eternity like what is less than minus infinity that's not a sensible question,52:13-52:37,Multiverse Theory,"The idea of multiple universes existing in parallel, with our universe being one of them. It suggests that our universe arose from a quantum fluctuation in a pre-existing multiverse.",Undergraduate
guess we don't know my personal favorite theory is there was a pre-existing universe out of which our cosmos arose as a baby universe quantum fluctuation what was there before that no it's infinite in it's infinite in time in both directions so what was there before so you mean it's never ending yeah I wrote a book if you want to read it pierce from eternity to here it's a great book i do but what's there before eternity there was no such thing as before eternity like what is less than minus infinity that's not a sensible question,52:13-52:37,Eternalism,"The concept that time is infinite and has no beginning or end, with all moments existing simultaneously. It suggests that there is no 'before' or 'after', only an eternal present.",Graduate
guess we don't know my personal favorite theory is there was a pre-existing universe out of which our cosmos arose as a baby universe quantum fluctuation what was there before that no it's infinite in it's infinite in time in both directions so what was there before so you mean it's never ending yeah I wrote a book if you want to read it pierce from eternity to here it's a great book i do but what's there before eternity there was no such thing as before eternity like what is less than minus infinity that's not a sensible question,52:13-52:37,Quantum Fluctuation,"A temporary and random change in energy at the quantum level, which can lead to the creation of a new universe or particle. It is a fundamental concept in cosmology and theoretical physics.",High School
guess we don't know my personal favorite theory is there was a pre-existing universe out of which our cosmos arose as a baby universe quantum fluctuation what was there before that no it's infinite in it's infinite in time in both directions so what was there before so you mean it's never ending yeah I wrote a book if you want to read it pierce from eternity to here it's a great book i do but what's there before eternity there was no such thing as before eternity like what is less than minus infinity that's not a sensible question,52:13-52:37,Infinite Time,"The idea that time has no beginning or end, with an infinite past and future. This concept challenges traditional notions of causality and the arrow of time.",Graduate
to ask yeah but I think it's a copout by you if you don't mind me saying this very respectfully to say that something is infinite because if you're saying it's infinite you don't have to answer the question you've just made that up you don't know it was infinite th this very often happens in the progress of human knowledge that a question that we thought was an interesting one becomes not answered but shown to be uninteresting because we get a deeper understanding see that I'm sorry i'm going to come to you Eric on this that seems to me a very pompous answer that is basically trying to apply a superior,52:43-53:08,Infinite Sets,"A set with an infinite number of elements, often used in mathematics and physics to describe quantities without bounds.",Undergraduate
to ask yeah but I think it's a copout by you if you don't mind me saying this very respectfully to say that something is infinite because if you're saying it's infinite you don't have to answer the question you've just made that up you don't know it was infinite th this very often happens in the progress of human knowledge that a question that we thought was an interesting one becomes not answered but shown to be uninteresting because we get a deeper understanding see that I'm sorry i'm going to come to you Eric on this that seems to me a very pompous answer that is basically trying to apply a superior,52:43-53:08,Cognitive Biases,"Systematic patterns of deviation from rationality in judgment, leading to errors in thinking and decision-making.",High School
intelligence to a response to a lesser mortal by saying that my my my attempt to ask get this question answered is so stupid that there should be no need by the brain power in front of me to answer it no it's exactly the opposite of that i don't know why people are trying to psychoanalyze me and and think about what I'm thinking of them what I'm saying is the question of what happened before the big bang is primmaashi a perfectly sensible question to ask but,53:14-53:38,Cosmological Singularity,"The point in space-time where the laws of physics as we know them break down, and the universe began expanding around 13.8 billion years ago.",High School
intelligence to a response to a lesser mortal by saying that my my my attempt to ask get this question answered is so stupid that there should be no need by the brain power in front of me to answer it no it's exactly the opposite of that i don't know why people are trying to psychoanalyze me and and think about what I'm thinking of them what I'm saying is the question of what happened before the big bang is primmaashi a perfectly sensible question to ask but,53:14-53:38,Big Bang Theory,"The leading explanation for the origin and evolution of our universe, proposing that it began as an infinitely hot and dense point and expanded rapidly around 13.8 billion years ago.",High School
intelligence to a response to a lesser mortal by saying that my my my attempt to ask get this question answered is so stupid that there should be no need by the brain power in front of me to answer it no it's exactly the opposite of that i don't know why people are trying to psychoanalyze me and and think about what I'm thinking of them what I'm saying is the question of what happened before the big bang is primmaashi a perfectly sensible question to ask but,53:14-53:38,Pre-Big Bang Hypotheses,"Speculative ideas attempting to explain what existed before the Big Bang, including theories such as eternal inflation and cyclic models.",Undergraduate
we need to be open to the possibility that there is no beginning to the universe that the universe yeah but that is a ridiculous thing to say because you know you know that your human brain cannot comprehend something that has no beginning how can it we can't I can comprehend the real numbers they go from minus infinity to infinity i don't see why it's harder to comprehend infinity years versus 14 billion years that doesn't make sense to me all right Eric am I am I mad,53:44-54:12,Infinity,A concept in mathematics and philosophy referring to a quantity with no end or limit.,High School
we need to be open to the possibility that there is no beginning to the universe that the universe yeah but that is a ridiculous thing to say because you know you know that your human brain cannot comprehend something that has no beginning how can it we can't I can comprehend the real numbers they go from minus infinity to infinity i don't see why it's harder to comprehend infinity years versus 14 billion years that doesn't make sense to me all right Eric am I am I mad,53:44-54:12,Real Numbers,"A set of numbers that includes all rational and irrational numbers, extending infinitely in both positive and negative directions.",Undergraduate
no i mean look uh one of the things I like Pierce is that you invite me on this program often not to do battle as we heard in the previous se segment so let me try something as an offering to the good Dr carol and he can tell me whether this matches anything uh because I also share uh atheism at some level along with him what I believe is that you're conflating three different category problems one you're talking about something observational which might terminate at what we would call the surface of less scattering the thing,54:20-54:44,Rayleigh Scattering,"The scattering of light by small particles, such as molecules in a gas or aerosols in the atmosphere.",High School
no i mean look uh one of the things I like Pierce is that you invite me on this program often not to do battle as we heard in the previous se segment so let me try something as an offering to the good Dr carol and he can tell me whether this matches anything uh because I also share uh atheism at some level along with him what I believe is that you're conflating three different category problems one you're talking about something observational which might terminate at what we would call the surface of less scattering the thing,54:20-54:44,Surface of Last Scattering,A hypothetical surface beyond which photons are no longer scattered and can travel freely through space.,Undergraduate
that we cannot see beyond with our instruments um that takes place uh along the lines of something let's say call the cosmological model which is a reduction of Einstein's field equations assuming greater certain uh symmetry that is a one comma three problem where you have one dimension of time three of space and you can prove that there's a something called an essential singularity in the center of a black hole a Schwarzfield singularity and an initial singularity and what would be called a Freriedman Robertson Walker metric,54:49-55:17,Einstein's Field Equations,A set of fundamental equations in general relativity that describe the curvature of spacetime.,Undergraduate
that we cannot see beyond with our instruments um that takes place uh along the lines of something let's say call the cosmological model which is a reduction of Einstein's field equations assuming greater certain uh symmetry that is a one comma three problem where you have one dimension of time three of space and you can prove that there's a something called an essential singularity in the center of a black hole a Schwarzfield singularity and an initial singularity and what would be called a Freriedman Robertson Walker metric,54:49-55:17,Schwarzschild Singularity,"A point of infinite density at the center of a black hole, where the laws of physics as we know them break down.",Graduate
that we cannot see beyond with our instruments um that takes place uh along the lines of something let's say call the cosmological model which is a reduction of Einstein's field equations assuming greater certain uh symmetry that is a one comma three problem where you have one dimension of time three of space and you can prove that there's a something called an essential singularity in the center of a black hole a Schwarzfield singularity and an initial singularity and what would be called a Freriedman Robertson Walker metric,54:49-55:17,Initial Singularity,"The singularity that existed at the beginning of the universe, marking the point in time when the Big Bang occurred.",Graduate
that we cannot see beyond with our instruments um that takes place uh along the lines of something let's say call the cosmological model which is a reduction of Einstein's field equations assuming greater certain uh symmetry that is a one comma three problem where you have one dimension of time three of space and you can prove that there's a something called an essential singularity in the center of a black hole a Schwarzfield singularity and an initial singularity and what would be called a Freriedman Robertson Walker metric,54:49-55:17,Friedmann-Robertson-Walker Metric,"A mathematical model used to describe the evolution and expansion of the universe on large scales, assuming a homogeneous and isotropic distribution of matter.",Graduate
that we cannot see beyond with our instruments um that takes place uh along the lines of something let's say call the cosmological model which is a reduction of Einstein's field equations assuming greater certain uh symmetry that is a one comma three problem where you have one dimension of time three of space and you can prove that there's a something called an essential singularity in the center of a black hole a Schwarzfield singularity and an initial singularity and what would be called a Freriedman Robertson Walker metric,54:49-55:17,Cosmological Model,"A theoretical framework that describes the origin, evolution, and fate of the universe, based on Einstein's field equations and assumptions about symmetry.",Graduate
So that is a map of the territory that we are trying to observe but there's a third thing which is an assembly sequence which also has an ordinal concept of development which could be confused with a chronological one of time what is it that built the manifold so that time could progress now the thing that's truly radical about geometric unity and I think Sean would probably agree with this if he's if he's read it at all and I'm not sure that he has is that it is the only theory I know that begins from almost nothing and,55:23-55:49,Geometric Unity,A theoretical framework in physics that attempts to unify geometric concepts with the progression of time.,Graduate
So that is a map of the territory that we are trying to observe but there's a third thing which is an assembly sequence which also has an ordinal concept of development which could be confused with a chronological one of time what is it that built the manifold so that time could progress now the thing that's truly radical about geometric unity and I think Sean would probably agree with this if he's if he's read it at all and I'm not sure that he has is that it is the only theory I know that begins from almost nothing and,55:23-55:49,Ordinal vs. Chronological Time,"The distinction between ordinal time, which is a measure of development or sequence, and chronological time, which is a measure of actual time passing.",Undergraduate
tries to get and by a theory of everything we don't mean all knowledge we mean a complete uh set of the rules of the universe what it says is is that four degrees of freedom are all that is necessary for the quark leptton CKM PMS etc etc PNMS structure of the universe that basically sweet salty sour and bitter or uh treble mid bass and reverb is all that's necessary to create a universe what the point of a theory of everything which is almost never discussed and by the way I would point,55:55-56:23,Theory of Everything,"A hypothetical framework that describes all fundamental laws and forces in the universe, requiring only four degrees of freedom to explain its structure.",Undergraduate
tries to get and by a theory of everything we don't mean all knowledge we mean a complete uh set of the rules of the universe what it says is is that four degrees of freedom are all that is necessary for the quark leptton CKM PMS etc etc PNMS structure of the universe that basically sweet salty sour and bitter or uh treble mid bass and reverb is all that's necessary to create a universe what the point of a theory of everything which is almost never discussed and by the way I would point,55:55-56:23,Degrees of Freedom,The number of independent parameters or variables required to describe a system's behavior.,High School
out that I quite agree with Sean that philosophy when done well is uh an essential complement to understanding physics lest we be tempted into the wrong kinds of thinking what I would say a theory of everything is is a theory that starts from minimal assumptions recovers all of the rules and demotivates the further scientific study of the initial set of data used to construct the model not that the model not that the initial set of data is uninteresting but it that it'd be,56:28-56:54,Theory of Everything,"A theory that starts from minimal assumptions, recovers all relevant rules, and demotivates further scientific study of the initial data.",Graduate
out that I quite agree with Sean that philosophy when done well is uh an essential complement to understanding physics lest we be tempted into the wrong kinds of thinking what I would say a theory of everything is is a theory that starts from minimal assumptions recovers all of the rules and demotivates the further scientific study of the initial set of data used to construct the model not that the model not that the initial set of data is uninteresting but it that it'd be,56:28-56:54,Minimal Assumptions,Starting a theory with the fewest necessary assumptions to explain observed phenomena.,Undergraduate
out that I quite agree with Sean that philosophy when done well is uh an essential complement to understanding physics lest we be tempted into the wrong kinds of thinking what I would say a theory of everything is is a theory that starts from minimal assumptions recovers all of the rules and demotivates the further scientific study of the initial set of data used to construct the model not that the model not that the initial set of data is uninteresting but it that it'd be,56:28-56:54,Scientific Study of Data,The process of analyzing and understanding data used to construct a scientific model.,High School
interesting to theologians and philosophers rather than be motivating to mathematicians and physicists and what I would say is if it's true imagine we were on the branch where geometric unity has proven itself and the good Dr carol agrees what I would say is at that point why there are four degrees of freedom is not a scientific question i don't think anybody that I know would be motivated to try to figure out how to get four degrees of freedom from nothing uh that would be an interesting question and that is the question upon which your,56:59-57:26,Degrees of Freedom,"A measure of the number of independent parameters in a physical system, often used to describe the motion of particles or objects.",Undergraduate
interesting to theologians and philosophers rather than be motivating to mathematicians and physicists and what I would say is if it's true imagine we were on the branch where geometric unity has proven itself and the good Dr carol agrees what I would say is at that point why there are four degrees of freedom is not a scientific question i don't think anybody that I know would be motivated to try to figure out how to get four degrees of freedom from nothing uh that would be an interesting question and that is the question upon which your,56:59-57:26,Geometric Unity,A theoretical framework that attempts to unify fundamental forces and dimensions using geometric principles.,Graduate
god hinges but I would say that uh in the ca case of a scientific atheist what we're trying to do is to come up with a complete set of the rules of chess as it were for the physical universe from minimal inputs and those minimal inputs should have so little structure that they are demotivating to everybody who studies partial differential equations or group representations but just to be clear Eric like Sean I think I've got a point of of where you both come to the same place here you don't actually know,57:32-57:59,Partial Differential Equations,A set of equations that describe how a function changes over space and time.,Undergraduate
god hinges but I would say that uh in the ca case of a scientific atheist what we're trying to do is to come up with a complete set of the rules of chess as it were for the physical universe from minimal inputs and those minimal inputs should have so little structure that they are demotivating to everybody who studies partial differential equations or group representations but just to be clear Eric like Sean I think I've got a point of of where you both come to the same place here you don't actually know,57:32-57:59,Group Representations,A way to study the symmetries of a mathematical object using group theory.,Graduate
do you what was there before nothing no absolutely not i would love you know what I would love given I've only understood about onetenth of what either of you have said for the last hour i would like to end on a point where none of us know the answer to something because it makes me feel slightly less stupid uh fascinating debate gentlemen i'm glad we ended up with a bit of unamity at the end there uh I appreciate you coming together i realize you are loggerheads about a few things i suspect as Eric said Sean if you spend a couple of days together over a few pints of,58:05-58:32,Uncertainty Principle,"The idea that it's impossible to know certain properties of a particle, such as its position and momentum, simultaneously with infinite precision.",High School
do you what was there before nothing no absolutely not i would love you know what I would love given I've only understood about onetenth of what either of you have said for the last hour i would like to end on a point where none of us know the answer to something because it makes me feel slightly less stupid uh fascinating debate gentlemen i'm glad we ended up with a bit of unamity at the end there uh I appreciate you coming together i realize you are loggerheads about a few things i suspect as Eric said Sean if you spend a couple of days together over a few pints of,58:05-58:32,Heisenberg Uncertainty Principle,A fundamental concept in quantum mechanics that describes the inherent uncertainty in measuring certain properties of subatomic particles.,Undergraduate
foaming British ale or whatever your tipple may be uh you probably find you end up best buddies and I I would love to do that interview if you ever do that so thank you both very much for joining me thanks thanks for having us and Sean thanks for doing this maybe a cocktail instead of some logger bit bitter just bitter to be clear uh but thank you both very much piers Morgan Uncensored is proudly independent the only boss around here is me if you enjoy our show we ask for only one simple thing hit subscribe on,58:39-59:04,,,
YouTube and follow Piers Morgan Uncensored on Spotify and Apple Podcast and in return we will continue our mission to inform irritate and entertain and we'll do it all for free independent uncensored media has never been more critical and we couldn't do it without you,59:11-59:23,,,
